Gyro.gyro_X,Gyro.gyro_Y,Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_distance,driving_machine_monitor.path_curvature,driver_demands.steering
23.6497758,3.05E-05,8.68E-05,18.9159045,-5.14E-06,-5.76E-06,-1.62E-05,0,6.77E-05
23.83893448,3.02E-05,8.68E-05,18.91583152,-5.13E-06,-5.76E-06,-1.60E-05,0,6.79E-05
24.02809244,3.00E-05,8.68E-05,18.91576212,-5.12E-06,-5.76E-06,-1.57E-05,0,6.82E-05
24.21724973,2.98E-05,8.68E-05,18.91569626,-5.12E-06,-5.75E-06,-1.55E-05,0,6.84E-05
24.40640638,2.95E-05,8.68E-05,18.91563393,-5.11E-06,-5.75E-06,-1.53E-05,0,6.86E-05
24.59556242,2.93E-05,8.68E-05,18.9155751,-5.11E-06,-5.75E-06,-1.51E-05,0,6.88E-05
24.78471789,2.91E-05,8.68E-05,18.91551974,-5.10E-06,-5.74E-06,-1.48E-05,0,6.90E-05
24.97387283,2.89E-05,8.68E-05,18.91546783,-5.09E-06,-5.74E-06,-1.46E-05,0,6.92E-05
25.16302726,2.86E-05,8.68E-05,18.91541936,-5.09E-06,-5.74E-06,-1.44E-05,0,6.94E-05
25.35218122,2.84E-05,8.67E-05,18.91537429,-5.08E-06,-5.73E-06,-1.41E-05,0,6.95E-05
25.54133476,2.82E-05,8.67E-05,18.9153326,-5.08E-06,-5.73E-06,-1.39E-05,0,6.97E-05
25.73048789,2.80E-05,8.67E-05,18.91529427,-5.07E-06,-5.72E-06,-1.37E-05,0,6.98E-05
25.91964065,2.77E-05,8.67E-05,18.91525928,-5.07E-06,-5.71E-06,-1.34E-05,0,7.00E-05
26.10879308,2.75E-05,8.67E-05,18.91522761,-5.06E-06,-5.71E-06,-1.32E-05,0,7.01E-05
26.29794522,2.73E-05,8.67E-05,18.91519922,-5.06E-06,-5.70E-06,-1.30E-05,0,7.03E-05
26.48709708,2.71E-05,8.67E-05,18.91517411,-5.05E-06,-5.69E-06,-1.27E-05,0,7.04E-05
26.67624871,2.69E-05,8.67E-05,18.91515224,-5.05E-06,-5.68E-06,-1.25E-05,0,7.05E-05
26.86540013,2.67E-05,8.67E-05,18.9151336,-5.05E-06,-5.67E-06,-1.23E-05,0,7.07E-05
27.05455139,2.64E-05,8.67E-05,18.91511816,-5.04E-06,-5.67E-06,-1.20E-05,0,7.08E-05
27.24370251,2.62E-05,8.67E-05,18.9151059,-5.04E-06,-5.66E-06,-1.18E-05,0,7.09E-05
27.43285352,2.60E-05,8.66E-05,18.91509679,-5.03E-06,-5.65E-06,-1.16E-05,0,7.10E-05
27.62200445,2.58E-05,8.66E-05,18.91509083,-5.03E-06,-5.64E-06,-1.14E-05,0,7.11E-05
27.81115535,2.56E-05,8.66E-05,18.91508797,-5.03E-06,-5.63E-06,-1.11E-05,0,7.12E-05
28.00030622,2.54E-05,8.66E-05,18.91508821,-5.02E-06,-5.62E-06,-1.09E-05,0,7.13E-05
28.18945712,2.52E-05,8.66E-05,18.91509152,-5.02E-06,-5.61E-06,-1.07E-05,0,7.14E-05
28.37860806,2.50E-05,8.66E-05,18.91509788,-5.02E-06,-5.60E-06,-1.05E-05,0,7.15E-05
28.56775909,2.48E-05,8.66E-05,18.91510726,-5.02E-06,-5.59E-06,-1.03E-05,0,7.15E-05
28.75691022,2.46E-05,8.66E-05,18.91511965,-5.01E-06,-5.57E-06,-1.00E-05,0,7.16E-05
28.94606149,2.44E-05,8.66E-05,18.91513501,-5.01E-06,-5.56E-06,-9.82E-06,0,7.17E-05
29.13521293,2.42E-05,8.66E-05,18.91515334,-5.01E-06,-5.55E-06,-9.61E-06,0,7.17E-05
29.32436457,2.40E-05,8.66E-05,18.91517461,-5.01E-06,-5.54E-06,-9.39E-06,0,7.18E-05
29.51351643,2.38E-05,8.66E-05,18.9151988,-5.00E-06,-5.53E-06,-9.18E-06,0,7.19E-05
29.70266855,2.36E-05,8.66E-05,18.91522588,-5.00E-06,-5.52E-06,-8.97E-06,0,7.19E-05
29.89182096,2.35E-05,8.66E-05,18.91525583,-5.00E-06,-5.51E-06,-8.77E-06,0,7.20E-05
30.08097368,2.33E-05,8.66E-05,18.91528863,-5.00E-06,-5.49E-06,-8.56E-06,0,7.20E-05
30.27012674,2.31E-05,8.66E-05,18.91532426,-5.00E-06,-5.48E-06,-8.36E-06,0,7.20E-05
30.45928017,2.29E-05,8.65E-05,18.9153627,-4.99E-06,-5.47E-06,-8.16E-06,0,7.21E-05
30.648434,2.27E-05,8.65E-05,18.91540393,-4.99E-06,-5.46E-06,-7.96E-06,0,7.21E-05
30.83758826,2.26E-05,8.65E-05,18.91544792,-4.99E-06,-5.44E-06,-7.76E-06,0,7.21E-05
31.02674297,2.24E-05,8.65E-05,18.91549465,-4.99E-06,-5.43E-06,-7.57E-06,0,7.21E-05
31.21589816,2.22E-05,8.65E-05,18.9155441,-4.99E-06,-5.42E-06,-7.38E-06,0,7.22E-05
31.40505386,2.21E-05,8.65E-05,18.91559625,-4.99E-06,-5.40E-06,-7.19E-06,0,7.22E-05
