time.TIME,Gyro.gyro_X,Gyro.gyro_Y,Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_distance,driving_machine_monitor.path_curvature,driver_demands.steering,driver_demands.throttle
1.69,30.83758826,2.25638E-05,8.65358E-05,18.91544792,-4.99182E-06,-5.44268E-06,-7.76267E-06,0,7.2117E-05,13.46839627
1.7,31.02674297,2.23928E-05,8.65309E-05,18.91549465,-4.9905E-06,-5.42986E-06,-7.56802E-06,0,7.21377E-05,13.47555112
1.71,31.21589816,2.22243E-05,8.65259E-05,18.9155441,-4.98928E-06,-5.41694E-06,-7.37554E-06,0,7.21544E-05,13.48265013
1.72,31.40505386,2.20582E-05,8.65209E-05,18.91559625,-4.98815E-06,-5.40393E-06,-7.18526E-06,0,7.2167E-05,13.48969342
1.73,31.5942101,2.18945E-05,8.65157E-05,18.91565107,-4.98712E-06,-5.39083E-06,-6.99721E-06,0,7.21757E-05,13.49668112
1.74,31.78336689,2.17332E-05,8.65104E-05,18.91570855,-4.98617E-06,-5.37766E-06,-6.81141E-06,0,7.21805E-05,13.50361336
1.75,31.97252428,2.15744E-05,8.65049E-05,18.91576867,-4.9853E-06,-5.36442E-06,-6.62789E-06,0,7.21816E-05,13.51049026
1.76,32.16168227,2.1418E-05,8.64993E-05,18.91583139,-4.98452E-06,-5.35112E-06,-6.44669E-06,0,7.21788E-05,13.51731196
1.77,32.35084091,2.12641E-05,8.64935E-05,18.91589671,-4.98381E-06,-5.33777E-06,-6.26781E-06,0,7.21725E-05,13.52407858
1.78,32.54000022,2.11126E-05,8.64875E-05,18.9159646,-4.98319E-06,-5.32437E-06,-6.09129E-06,0,7.21627E-05,13.53079025
