time.TIME,Gyro.gyro_X,Gyro.gyro_Y,Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering
0.71,11.58595982,3.92675E-05,8.10039E-05,17.9293959,-5.58108E-06,-4.54194E-06,0,-2.25329E-05,4.49996E-05
0.72,11.76525271,3.92511E-05,8.1261E-05,17.9291829,-5.583E-06,-4.598E-06,0,-2.26211E-05,4.57871E-05
0.73,11.94454349,3.92272E-05,8.15002E-05,17.92897437,-5.58411E-06,-4.65264E-06,0,-2.26998E-05,4.65424E-05
0.74,12.12383221,3.9196E-05,8.17195E-05,17.92877103,-5.58437E-06,-4.70572E-06,0,-2.27687E-05,4.72636E-05
0.75,12.30311893,3.91575E-05,8.19172E-05,17.9285731,-5.58374E-06,-4.75713E-06,0,-2.28279E-05,4.79496E-05
0.76,12.48240369,3.91119E-05,8.20923E-05,17.92838017,-5.58218E-06,-4.80678E-06,0,-2.2877E-05,4.85999E-05
0.77,12.66168655,3.90591E-05,8.22443E-05,17.92819168,-5.57971E-06,-4.85462E-06,0,-2.29161E-05,4.92145E-05
0.78,12.84096754,3.89994E-05,8.23733E-05,17.92800736,-5.57632E-06,-4.90059E-06,0,-2.29453E-05,4.97939E-05
0.79,13.02024671,3.89328E-05,8.24794E-05,17.92782742,-5.57204E-06,-4.94468E-06,0,-2.29644E-05,5.03393E-05
0.8,13.1995241,3.88594E-05,8.25633E-05,17.92765222,-5.5669E-06,-4.9869E-06,0,-2.29736E-05,5.08526E-05
0.81,13.37879977,3.87794E-05,8.26262E-05,17.92748197,-5.56094E-06,-5.02727E-06,0,-2.29731E-05,5.13362E-05
0.82,13.55807376,3.86928E-05,8.26692E-05,17.92731653,-5.55422E-06,-5.06581E-06,0,-2.29628E-05,5.17925E-05
0.83,13.73734611,3.85999E-05,8.26939E-05,17.9271556,-5.54679E-06,-5.10259E-06,0,-2.29432E-05,5.22243E-05
0.84,13.91661688,3.85007E-05,8.2702E-05,17.92699898,-5.53871E-06,-5.13766E-06,0,-2.29142E-05,5.2634E-05
0.85,14.09588611,3.83953E-05,8.26953E-05,17.92684669,-5.53007E-06,-5.17109E-06,0,-2.28762E-05,5.30246E-05
0.86,14.27515383,3.82841E-05,8.26757E-05,17.9266989,-5.52097E-06,-5.20295E-06,0,-2.28295E-05,5.33991E-05
0.87,14.4544201,3.8167E-05,8.26452E-05,17.92655575,-5.5115E-06,-5.23333E-06,0,-2.27741E-05,5.37605E-05
0.88,14.63368496,3.80442E-05,8.26058E-05,17.9264172,-5.50173E-06,-5.26231E-06,0,-2.27106E-05,5.41116E-05
0.89,14.81294846,3.7916E-05,8.25596E-05,17.92628309,-5.49173E-06,-5.28998E-06,0,-2.26391E-05,5.44552E-05
0.9,14.99221064,3.77825E-05,8.25082E-05,17.92615329,-5.48157E-06,-5.31641E-06,0,-2.25599E-05,5.47935E-05
0.91,15.17147154,3.76438E-05,8.24536E-05,17.92602776,-5.47134E-06,-5.3417E-06,0,-2.24733E-05,5.51288E-05
0.92,15.35073121,3.75001E-05,8.23973E-05,17.92590656,-5.46107E-06,-5.36592E-06,0,-2.23797E-05,5.5463E-05
